,track_id,track_name,artist_name,acousticness,valence,danceability,kmeans
1004,4isDU5tDNqFLQ5xQ9NgPmz,"Till My Heartaches End - From ""The Significant Other""",KZ Tandingan,0.845,0.214,0.497,2
1013,2z7UKVsBdbA7HFPunDKDP4,Strawberries & Cigarettes,Troye Sivan,0.16,0.27,0.514,2
1022,1gm616Plq4ScqNi7TVkZ5N,Call Out My Name,The Weeknd,0.218,0.172,0.489,2
1023,2poOAWEj1CStqTVPgIHZ8s,Try Me,The Weeknd,0.629,0.124,0.508,2
1028,56d6kYZhfhzpoC3s1dRU2V,I Was Never There,The Weeknd,0.133,0.185,0.32,2
1029,13wNEvWmBsWaWVtiLPRIW5,Hurt You,The Weeknd,0.3,0.365,0.484,2
1030,26Fqtv4Aa7kyd1WWGHai6A,Privilege,The Weeknd,0.913,0.379,0.391,2
1041,7Fg342AJtNsIDdwCfX0paC,Let Me,ZAYN,0.239,0.189,0.46,2
1046,3MQMBm2m3UqpT23doEOZc2,Always,Gavin James,0.0533,0.161,0.504,2
1072,3roMGtDfleE2N8M56E2WFs,We Do (feat. Miranda Glory),R3HAB,0.241,0.306,0.377,2
1075,0u2P5u6lvoDfwTYjAADbn4,lovely (with Khalid),Billie Eilish,0.934,0.12,0.351,2
1090,3ZbJMlEL4Kcme0ONRO7Slx,You Can Cry,Marshmello,0.0974,0.17,0.491,2
1098,4UBoF5hcXav3XzKJHYqb1E,Anong Nangyari Sa Ating Dalawa,Moira Dela Torre,0.944,0.199,0.307,2
1101,7boPPE857KEqCIHNwFkDop,Audio,Sia,0.192,0.372,0.365,2
1122,5SwEgzUFDHwpWHKrbnP32Z,Youth feat. Khalid,Shawn Mendes,0.569,0.326,0.518,2
1131,3VQb0rq27GPX92X53Ni1Lc,'Di Na Muli,Janine Teñoso,0.192,0.352,0.413,2
1132,0087fDVeNhuyMtST91RMjv,Kundiman,Silent Sanctuary,0.564,0.454,0.335,2
1135,0X8DcetL926BYiPJYstJTc,Lucid Dreams,Juice WRLD,0.349,0.218,0.511,2
1143,782ET7GKMVvNPBez4nsurW,FAKE LOVE (Rocking Vibe Mix),BTS,0.0573,0.352,0.463,2
1146,4fFfyouye6vrX9o9z4PVMu,Never Not,Lauv,0.693,0.264,0.47,2
1153,0wFmawqundY8rOn9sZUqA6,Midsummer Madness,88rising,0.359,0.168,0.409,2
