track_name,artist_name,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
The One That Got Away - Acoustic,Katy Perry,0.714,0.434,4.0,-11.542,0.0396,0.697,0.0,0.0919,0.352,123.942
Diwata,Abra,0.72,0.837,1.0,-7.264,0.0359,0.49,0.0,0.208,0.917,92.025
Sometimes Love Just Ain't Enough,Charice,0.414,0.26,10.0,-10.76,0.035,0.737,0.0,0.0828,0.17,83.652
The Reason,Hoobastank,0.474,0.659,4.0,-4.667,0.0292,0.0125,0.0,0.154,0.075,82.957
Stay With Me,CHANYEOL,0.558,0.526,0.0,-4.686,0.033,0.431,0.0,0.126,0.202,124.709
You're Beautiful,James Blunt,0.674,0.547,0.0,-7.316,0.0276,0.625,1.54e-05,0.0927,0.423,81.997
Yellow,Coldplay,0.429,0.661,11.0,-7.227,0.0281,0.00239,0.000121,0.234,0.285,173.372
How to Save a Life,The Fray,0.64,0.743,10.0,-4.08,0.0379,0.269,0.0,0.101,0.361,122.035
September Song,JP Cooper,0.623,0.654,0.0,-5.675,0.0372,0.0545,0.0,0.0838,0.401,95.921
Best Thing I Never Had,Beyoncé,0.545,0.649,6.0,-4.062,0.0324,0.143,1.57e-05,0.0894,0.297,99.099
Bad Day,Daniel Powter,0.599,0.785,3.0,-4.013,0.0309,0.448,0.00336,0.151,0.52,140.046
If You're Not The One,Daniel Bedingfield,0.688,0.538,10.0,-7.608,0.0292,0.504,0.0,0.111,0.27,119.998
I Won't Give Up,Jason Mraz,0.585,0.303,4.0,-10.058,0.0398,0.694,0.0,0.115,0.142,136.703
Shape of You,Ed Sheeran,0.825,0.652,1.0,-3.183,0.0802,0.581,0.0,0.0931,0.931,95.977
Castle on the Hill,Ed Sheeran,0.461,0.834,2.0,-4.868,0.0989,0.0232,1.14e-05,0.14,0.471,135.007
Don't Leave,Snakehips,0.657,0.703,1.0,-3.402,0.0753,0.222,0.0,0.256,0.338,122.381
Thinking out Loud,Ed Sheeran,0.781,0.445,2.0,-6.061,0.0295,0.474,0.0,0.184,0.591,78.998
The A Team,Ed Sheeran,0.642,0.289,9.0,-9.918,0.0367,0.669,0.0,0.18,0.407,84.996
Tenerife Sea,Ed Sheeran,0.53,0.346,8.0,-10.497,0.0376,0.697,1.07e-05,0.105,0.359,121.876
